cantidad,cantidad_solicitada,cliente,costo,dia,dias_entrega,egreso,ingreso,inventario_disponible,penalizacion,politica_anterior,politica_nueva,producto,proveedor,razon,tipo
12,,Taller Mecánico López,3.5999999999999996,12,,,10.8,,,,,PROD002,,,VENTA
13,,Taller Mecánico López,9.152000000000003,12,,,26.0,,,,,PROD004,,,VENTA
87,,Construcciones Pérez,43.5,14,,,104.39999999999999,,,,,PROD001,,,VENTA
88,,Construcciones Pérez,8.8,14,,,35.2,,,,,PROD003,,,VENTA
157,,Construcciones Pérez,110.52800000000003,14,,,314.0,,,,,PROD004,,,VENTA
98,,Construcciones Pérez,4.9,14,,,14.7,,,,,PROD005,,,VENTA
10,,Taller Mecánico López,3.0,14,,,9.0,,,,,PROD002,,,VENTA
,10,Taller Mecánico López,,14,,,,3,70.0,,,PROD004,,,DESABASTECIMIENTO
120,,,12.0,14,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
96,,,67.58400000000002,14,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
26,,Ferretería El Tornillo,13.0,15,,,31.2,,,,,PROD001,,,VENTA
14,,Ferretería El Tornillo,4.2,15,,,12.6,,,,,PROD002,,,VENTA
12,,Ferretería El Tornillo,1.2000000000000002,15,,,4.800000000000001,,,,,PROD003,,,VENTA
37,,Almacén Central (Interno),18.5,15,,,44.4,,,,,PROD001,,,VENTA
26,,Almacén Central (Interno),7.8,15,,,23.400000000000002,,,,,PROD002,,,VENTA
29,,Almacén Central (Interno),1.4500000000000002,15,,,4.35,,,,,PROD005,,,VENTA
120,,,12.0,15,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
96,,,67.58400000000002,15,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
10,,Taller Mecánico López,3.0,16,,,9.0,,,,,PROD002,,,VENTA
,12,Taller Mecánico López,,16,,,,3,70.0,,,PROD004,,,DESABASTECIMIENTO
120,,,12.0,16,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
96,,,67.58400000000002,16,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
120,,,,16,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
96,,,,16,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
120,,,,17,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
96,,,,17,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
16,,Ferretería El Tornillo,8.0,18,,,19.2,,,,,PROD001,,,VENTA
14,,Ferretería El Tornillo,4.2,18,,,12.6,,,,,PROD002,,,VENTA
23,,Ferretería El Tornillo,2.3,18,,,9.200000000000001,,,,,PROD003,,,VENTA
9,,Taller Mecánico López,2.6999999999999997,18,,,8.1,,,,,PROD002,,,VENTA
7,,Taller Mecánico López,4.928000000000001,18,,,14.0,,,,,PROD004,,,VENTA
120,,,,18,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
96,,,,18,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
9,,Taller Mecánico López,2.6999999999999997,20,,,8.1,,,,,PROD002,,,VENTA
9,,Taller Mecánico López,6.336000000000002,20,,,18.0,,,,,PROD004,,,VENTA
25,,Almacén Central (Interno),12.5,20,,,30.0,,,,,PROD001,,,VENTA
35,,Almacén Central (Interno),10.5,20,,,31.5,,,,,PROD002,,,VENTA
41,,Almacén Central (Interno),2.0500000000000003,20,,,6.1499999999999995,,,,,PROD005,,,VENTA
263,,Ferreterías del Norte,26.300000000000004,20,,,105.2,,,,,PROD003,,,VENTA
181,,Ferreterías del Norte,9.05,20,,,27.15,,,,,PROD005,,,VENTA
90,,,45.0,20,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
120,,,12.0,20,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
8,,Ferretería El Tornillo,4.0,21,,,9.6,,,,,PROD001,,,VENTA
5,,Ferretería El Tornillo,1.5,21,,,4.5,,,,,PROD002,,,VENTA
22,,Ferretería El Tornillo,2.2,21,,,8.8,,,,,PROD003,,,VENTA
,143,Construcciones Pérez,,21,,,,37,90.0,,,PROD001,,,DESABASTECIMIENTO
,117,Construcciones Pérez,,21,,,,67,90.0,,,PROD003,,,DESABASTECIMIENTO
73,,Construcciones Pérez,51.39200000000001,21,,,146.0,,,,,PROD004,,,VENTA
44,,Construcciones Pérez,2.2,21,,,6.6,,,,,PROD005,,,VENTA
90,,,45.0,21,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
120,,,12.0,21,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
10,,Taller Mecánico López,3.0,22,,,9.0,,,,,PROD002,,,VENTA
7,,Taller Mecánico López,4.928000000000001,22,,,14.0,,,,,PROD004,,,VENTA
90,,,45.0,22,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
120,,,12.0,22,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
90,,,,22,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
120,,,,22,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
90,,,,23,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
120,,,,23,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
15,,Ferretería El Tornillo,7.5,24,,,18.0,,,,,PROD001,,,VENTA
15,,Ferretería El Tornillo,4.5,24,,,13.5,,,,,PROD002,,,VENTA
24,,Ferretería El Tornillo,2.4000000000000004,24,,,9.600000000000001,,,,,PROD003,,,VENTA
8,,Taller Mecánico López,2.4,24,,,7.2,,,,,PROD002,,,VENTA
8,,Taller Mecánico López,5.6320000000000014,24,,,16.0,,,,,PROD004,,,VENTA
90,,,,24,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
120,,,,24,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
29,,Almacén Central (Interno),14.5,25,,,34.8,,,,,PROD001,,,VENTA
20,,Almacén Central (Interno),6.0,25,,,18.0,,,,,PROD002,,,VENTA
34,,Almacén Central (Interno),1.7000000000000002,25,,,5.1,,,,,PROD005,,,VENTA
10,,Taller Mecánico López,3.0,26,,,9.0,,,,,PROD002,,,VENTA
9,,Taller Mecánico López,6.336000000000002,26,,,18.0,,,,,PROD004,,,VENTA
20,,Ferretería El Tornillo,10.0,27,,,24.0,,,,,PROD001,,,VENTA
10,,Ferretería El Tornillo,3.0,27,,,9.0,,,,,PROD002,,,VENTA
15,,Ferretería El Tornillo,1.5,27,,,6.0,,,,,PROD003,,,VENTA
114,,Construcciones Pérez,57.0,28,,,136.79999999999998,,,,,PROD001,,,VENTA
98,,Construcciones Pérez,9.8,28,,,39.2,,,,,PROD003,,,VENTA
88,,Construcciones Pérez,61.95200000000002,28,,,176.0,,,,,PROD004,,,VENTA
106,,Construcciones Pérez,5.300000000000001,28,,,15.899999999999999,,,,,PROD005,,,VENTA
13,,Taller Mecánico López,3.9,28,,,11.700000000000001,,,,,PROD002,,,VENTA
9,,Taller Mecánico López,6.336000000000002,28,,,18.0,,,,,PROD004,,,VENTA
108,,,32.4,28,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
108,,,32.4,29,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
14,,Ferretería El Tornillo,7.0,30,,,16.8,,,,,PROD001,,,VENTA
12,,Ferretería El Tornillo,3.5999999999999996,30,,,10.8,,,,,PROD002,,,VENTA
16,,Ferretería El Tornillo,1.6,30,,,6.4,,,,,PROD003,,,VENTA
8,,Taller Mecánico López,2.4,30,,,7.2,,,,,PROD002,,,VENTA
8,,Taller Mecánico López,5.6320000000000014,30,,,16.0,,,,,PROD004,,,VENTA
30,,Almacén Central (Interno),15.0,30,,,36.0,,,,,PROD001,,,VENTA
,35,Almacén Central (Interno),,30,,,,32,100.0,,,PROD002,,,DESABASTECIMIENTO
32,,Almacén Central (Interno),1.6,30,,,4.8,,,,,PROD005,,,VENTA
213,,Ferreterías del Norte,21.3,30,,,85.2,,,,,PROD003,,,VENTA
162,,Ferreterías del Norte,8.100000000000001,30,,,24.3,,,,,PROD005,,,VENTA
108,,,32.4,30,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
120,,,12.0,30,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
108,,,32.4,31,3,,,,,,,PROD002,Suministros ABC,,PEDIDO
120,,,12.0,31,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
108,,,,31,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
7,,Taller Mecánico López,2.1,32,,,6.3,,,,,PROD002,,,VENTA
11,,Taller Mecánico López,7.7440000000000015,32,,,22.0,,,,,PROD004,,,VENTA
120,,,12.0,32,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
108,,,,32,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
120,,,,32,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
19,,Ferretería El Tornillo,9.5,33,,,22.8,,,,,PROD001,,,VENTA
8,,Ferretería El Tornillo,2.4,33,,,7.2,,,,,PROD002,,,VENTA
13,,Ferretería El Tornillo,1.3,33,,,5.2,,,,,PROD003,,,VENTA
108,,,,33,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
120,,,,33,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
9,,Taller Mecánico López,2.6999999999999997,34,,,8.1,,,,,PROD002,,,VENTA
10,,Taller Mecánico López,7.040000000000002,34,,,20.0,,,,,PROD004,,,VENTA
108,,,,34,,32.4,,,,,,PROD002,Suministros ABC,,RECEPCION
120,,,,34,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
,139,Construcciones Pérez,,35,,,,66,90.0,,,PROD001,,,DESABASTECIMIENTO
106,,Construcciones Pérez,10.600000000000001,35,,,42.400000000000006,,,,,PROD003,,,VENTA
,80,Construcciones Pérez,,35,,,,52,90.0,,,PROD004,,,DESABASTECIMIENTO
120,,Construcciones Pérez,6.0,35,,,18.0,,,,,PROD005,,,VENTA
28,,Almacén Central (Interno),14.0,35,,,33.6,,,,,PROD001,,,VENTA
32,,Almacén Central (Interno),9.6,35,,,28.8,,,,,PROD002,,,VENTA
29,,Almacén Central (Interno),1.4500000000000002,35,,,4.35,,,,,PROD005,,,VENTA
90,,,45.0,35,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
10,,Ferretería El Tornillo,5.0,36,,,12.0,,,,,PROD001,,,VENTA
10,,Ferretería El Tornillo,3.0,36,,,9.0,,,,,PROD002,,,VENTA
11,,Ferretería El Tornillo,1.1,36,,,4.4,,,,,PROD003,,,VENTA
14,,Taller Mecánico López,4.2,36,,,12.6,,,,,PROD002,,,VENTA
9,,Taller Mecánico López,6.336000000000002,36,,,18.0,,,,,PROD004,,,VENTA
90,,,45.0,36,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
90,,,45.0,37,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
90,,,,37,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
9,,Taller Mecánico López,2.6999999999999997,38,,,8.1,,,,,PROD002,,,VENTA
14,,Taller Mecánico López,9.856000000000002,38,,,28.0,,,,,PROD004,,,VENTA
96,,,67.58400000000002,38,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
90,,,,38,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
10,,Ferretería El Tornillo,5.0,39,,,12.0,,,,,PROD001,,,VENTA
13,,Ferretería El Tornillo,3.9,39,,,11.700000000000001,,,,,PROD002,,,VENTA
24,,Ferretería El Tornillo,2.4000000000000004,39,,,9.600000000000001,,,,,PROD003,,,VENTA
96,,,67.58400000000002,39,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
90,,,,39,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
11,,Taller Mecánico López,3.3,40,,,9.9,,,,,PROD002,,,VENTA
9,,Taller Mecánico López,6.336000000000002,40,,,18.0,,,,,PROD004,,,VENTA
25,,Almacén Central (Interno),12.5,40,,,30.0,,,,,PROD001,,,VENTA
23,,Almacén Central (Interno),6.8999999999999995,40,,,20.7,,,,,PROD002,,,VENTA
32,,Almacén Central (Interno),1.6,40,,,4.8,,,,,PROD005,,,VENTA
,302,Ferreterías del Norte,,40,,,,267,80.0,,,PROD003,,,DESABASTECIMIENTO
137,,Ferreterías del Norte,6.8500000000000005,40,,,20.55,,,,,PROD005,,,VENTA
96,,,67.58400000000002,40,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
96,,,,40,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
96,,,,41,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
16,,Ferretería El Tornillo,8.0,42,,,19.2,,,,,PROD001,,,VENTA
12,,Ferretería El Tornillo,3.5999999999999996,42,,,10.8,,,,,PROD002,,,VENTA
23,,Ferretería El Tornillo,2.3000000000000003,42,,,9.200000000000001,,,,,PROD003,,,VENTA
82,,Construcciones Pérez,41.0,42,,,98.39999999999999,,,,,PROD001,,,VENTA
116,,Construcciones Pérez,11.600000000000001,42,,,46.400000000000006,,,,,PROD003,,,VENTA
178,,Construcciones Pérez,125.31200000000003,42,,,356.0,,,,,PROD004,,,VENTA
83,,Construcciones Pérez,4.15,42,,,12.45,,,,,PROD005,,,VENTA
9,,Taller Mecánico López,2.6999999999999997,42,,,8.1,,,,,PROD002,,,VENTA
8,,Taller Mecánico López,5.6320000000000014,42,,,16.0,,,,,PROD004,,,VENTA
96,,,67.58400000000002,42,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
96,,,,42,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
13,,Taller Mecánico López,3.9,44,,,11.700000000000001,,,,,PROD002,,,VENTA
8,,Taller Mecánico López,5.6320000000000014,44,,,16.0,,,,,PROD004,,,VENTA
96,,,,44,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
11,,Ferretería El Tornillo,5.5,45,,,13.2,,,,,PROD001,,,VENTA
18,,Ferretería El Tornillo,5.3999999999999995,45,,,16.2,,,,,PROD002,,,VENTA
15,,Ferretería El Tornillo,1.5,45,,,6.0,,,,,PROD003,,,VENTA
28,,Almacén Central (Interno),14.0,45,,,33.6,,,,,PROD001,,,VENTA
26,,Almacén Central (Interno),7.8,45,,,23.400000000000002,,,,,PROD002,,,VENTA
33,,Almacén Central (Interno),1.6500000000000001,45,,,4.95,,,,,PROD005,,,VENTA
7,,Taller Mecánico López,2.1,46,,,6.3,,,,,PROD002,,,VENTA
8,,Taller Mecánico López,5.6320000000000014,46,,,16.0,,,,,PROD004,,,VENTA
19,,Ferretería El Tornillo,9.5,48,,,22.8,,,,,PROD001,,,VENTA
10,,Ferretería El Tornillo,3.0,48,,,9.0,,,,,PROD002,,,VENTA
7,,Ferretería El Tornillo,0.7000000000000001,48,,,2.8000000000000003,,,,,PROD003,,,VENTA
12,,Taller Mecánico López,3.5999999999999996,48,,,10.8,,,,,PROD002,,,VENTA
7,,Taller Mecánico López,4.928000000000001,48,,,14.0,,,,,PROD004,,,VENTA
,108,Construcciones Pérez,,49,,,,107,90.0,,,PROD001,,,DESABASTECIMIENTO
82,,Construcciones Pérez,8.200000000000001,49,,,32.800000000000004,,,,,PROD003,,,VENTA
122,,Construcciones Pérez,85.88800000000002,49,,,244.0,,,,,PROD004,,,VENTA
84,,Construcciones Pérez,4.2,49,,,12.6,,,,,PROD005,,,VENTA
120,,,12.0,49,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
9,,Taller Mecánico López,2.7,50,,,8.1,,,,,PROD002,,,VENTA
10,,Taller Mecánico López,7.040000000000002,50,,,20.0,,,,,PROD004,,,VENTA
32,,Almacén Central (Interno),16.0,50,,,38.4,,,,,PROD001,,,VENTA
28,,Almacén Central (Interno),8.4,50,,,25.2,,,,,PROD002,,,VENTA
38,,Almacén Central (Interno),1.9000000000000001,50,,,5.7,,,,,PROD005,,,VENTA
,117,Ferreterías del Norte,,50,,,,24,80.0,,,PROD003,,,DESABASTECIMIENTO
175,,Ferreterías del Norte,8.75,50,,,26.25,,,,,PROD005,,,VENTA
120,,,12.0,50,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
300,,,15.0,50,7,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
13,,Ferretería El Tornillo,6.5,51,,,15.6,,,,,PROD001,,,VENTA
15,,Ferretería El Tornillo,4.5,51,,,13.5,,,,,PROD002,,,VENTA
14,,Ferretería El Tornillo,1.4000000000000001,51,,,5.6000000000000005,,,,,PROD003,,,VENTA
120,,,12.0,51,2,,,,,,,PROD003,Distribuidora XYZ,,PEDIDO
300,,,15.0,51,5,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
120,,,,51,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
10,,Taller Mecánico López,3.0,52,,,9.0,,,,,PROD002,,,VENTA
9,,Taller Mecánico López,6.336000000000002,52,,,18.0,,,,,PROD004,,,VENTA
300,,,15.0,52,4,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
120,,,,52,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
300,,,15.0,53,4,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
120,,,,53,,12.0,,,,,,PROD003,Distribuidora XYZ,,RECEPCION
5,,Ferretería El Tornillo,2.5,54,,,6.0,,,,,PROD001,,,VENTA
19,,Ferretería El Tornillo,5.7,54,,,17.1,,,,,PROD002,,,VENTA
15,,Ferretería El Tornillo,1.5,54,,,6.0,,,,,PROD003,,,VENTA
8,,Taller Mecánico López,2.4,54,,,7.2,,,,,PROD002,,,VENTA
12,,Taller Mecánico López,8.448000000000002,54,,,24.0,,,,,PROD004,,,VENTA
300,,,15.0,54,4,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
29,,Almacén Central (Interno),14.5,55,,,34.8,,,,,PROD001,,,VENTA
33,,Almacén Central (Interno),9.899999999999999,55,,,29.7,,,,,PROD002,,,VENTA
29,,Almacén Central (Interno),1.4500000000000002,55,,,4.35,,,,,PROD005,,,VENTA
90,,,45.0,55,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
300,,,15.0,55,4,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
,126,Construcciones Pérez,,56,,,,28,90.0,,,PROD001,,,DESABASTECIMIENTO
57,,Construcciones Pérez,5.7,56,,,22.8,,,,,PROD003,,,VENTA
,192,Construcciones Pérez,,56,,,,42,90.0,,,PROD004,,,DESABASTECIMIENTO
,112,Construcciones Pérez,,56,,,,9,90.0,,,PROD005,,,DESABASTECIMIENTO
10,,Taller Mecánico López,3.0,56,,,9.0,,,,,PROD002,,,VENTA
9,,Taller Mecánico López,6.336000000000002,56,,,18.0,,,,,PROD004,,,VENTA
90,,,45.0,56,2,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
96,,,67.58400000000002,56,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
300,,,15.0,56,4,,,,,,,PROD005,Ferretería Industrial,,PEDIDO
300,,,,56,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
300,,,,56,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
17,,Ferretería El Tornillo,8.5,57,,,20.4,,,,,PROD001,,,VENTA
16,,Ferretería El Tornillo,4.8,57,,,14.4,,,,,PROD002,,,VENTA
14,,Ferretería El Tornillo,1.4000000000000001,57,,,5.6000000000000005,,,,,PROD003,,,VENTA
90,,,45.0,57,5,,,,,,,PROD001,Distribuidora XYZ,,PEDIDO
96,,,67.58400000000002,57,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
300,,,,57,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
300,,,,57,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
90,,,,57,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
10,,Taller Mecánico López,3.0,58,,,9.0,,,,,PROD002,,,VENTA
9,,Taller Mecánico López,6.336000000000002,58,,,18.0,,,,,PROD004,,,VENTA
96,,,67.58400000000002,58,2,,,,,,,PROD004,Distribuidora XYZ,,PEDIDO
300,,,,58,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
90,,,,58,,45.0,,,,,,PROD001,Distribuidora XYZ,,RECEPCION
96,,,,58,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
300,,,,59,,15.0,,,,,,PROD005,Ferretería Industrial,,RECEPCION
96,,,,59,,67.58400000000002,,,,,,PROD004,Distribuidora XYZ,,RECEPCION
20,,Ferretería El Tornillo,10.0,60,,,24.0,,,,,PROD001,,,VENTA
17,,Ferretería El Tornillo,5.1,60,,,15.3,,,,,PROD002,,,VENTA
