cantidad,cantidad_solicitada,cliente,costo,dia,dias_entrega,egreso,ingreso,inventario_disponible,penalizacion,producto,proveedor,tipo
35,,Almacén Central (Interno),1.75,15,,,5.25,,,PROD005,,VENTA
90,,,45.0,15,2,,,,,PROD001,Distribuidora XYZ,PEDIDO
120,,,12.0,15,2,,,,,PROD003,Distribuidora XYZ,PEDIDO
8,,Taller Mecánico López,2.4,16,,,7.2,,,PROD002,,VENTA
9,,Taller Mecánico López,6.336000000000001,16,,,18.0,,,PROD004,,VENTA
90,,,45.0,16,2,,,,,PROD001,Distribuidora XYZ,PEDIDO
120,,,12.0,16,2,,,,,PROD003,Distribuidora XYZ,PEDIDO
120,,,,16,,12.0,,,,PROD003,Distribuidora XYZ,RECEPCION
90,,,45.0,17,2,,,,,PROD001,Distribuidora XYZ,PEDIDO
90,,,,17,,45.0,,,,PROD001,Distribuidora XYZ,RECEPCION
120,,,,17,,12.0,,,,PROD003,Distribuidora XYZ,RECEPCION
16,,Ferretería El Tornillo,8.0,18,,,19.2,,,PROD001,,VENTA
13,,Ferretería El Tornillo,3.9,18,,,11.700000000000001,,,PROD002,,VENTA
9,,Ferretería El Tornillo,0.9,18,,,3.6,,,PROD003,,VENTA
11,,Taller Mecánico López,3.3,18,,,9.9,,,PROD002,,VENTA
9,,Taller Mecánico López,6.336000000000002,18,,,18.0,,,PROD004,,VENTA
90,,,,18,,45.0,,,,PROD001,Distribuidora XYZ,RECEPCION
120,,,,18,,12.0,,,,PROD003,Distribuidora XYZ,RECEPCION
90,,,,19,,45.0,,,,PROD001,Distribuidora XYZ,RECEPCION
11,,Taller Mecánico López,3.3,20,,,9.9,,,PROD002,,VENTA
15,,Taller Mecánico López,10.560000000000002,20,,,30.0,,,PROD004,,VENTA
31,,Almacén Central (Interno),15.5,20,,,37.199999999999996,,,PROD001,,VENTA
29,,Almacén Central (Interno),8.7,20,,,26.1,,,PROD002,,VENTA
30,,Almacén Central (Interno),1.5,20,,,4.5,,,PROD005,,VENTA
140,,Ferreterías del Norte,14.0,20,,,56.0,,,PROD003,,VENTA
193,,Ferreterías del Norte,9.65,20,,,28.95,,,PROD005,,VENTA
5,,Ferretería El Tornillo,2.5,21,,,6.0,,,PROD001,,VENTA
11,,Ferretería El Tornillo,3.3,21,,,9.9,,,PROD002,,VENTA
11,,Ferretería El Tornillo,1.1,21,,,4.4,,,PROD003,,VENTA
115,,Construcciones Pérez,57.5,21,,,138.0,,,PROD001,,VENTA
127,,Construcciones Pérez,12.700000000000001,21,,,50.800000000000004,,,PROD003,,VENTA
,87,Construcciones Pérez,,21,,,,65,90.0,PROD004,,DESABASTECIMIENTO
92,,Construcciones Pérez,4.6000000000000005,21,,,13.799999999999999,,,PROD005,,VENTA
120,,,12.0,21,2,,,,,PROD003,Distribuidora XYZ,PEDIDO
10,,Taller Mecánico López,3.0,22,,,9.0,,,PROD002,,VENTA
11,,Taller Mecánico López,7.7440000000000015,22,,,22.0,,,PROD004,,VENTA
120,,,12.0,22,2,,,,,PROD003,Distribuidora XYZ,PEDIDO
120,,,12.0,23,2,,,,,PROD003,Distribuidora XYZ,PEDIDO
120,,,,23,,12.0,,,,PROD003,Distribuidora XYZ,RECEPCION
15,,Ferretería El Tornillo,7.5,24,,,18.0,,,PROD001,,VENTA
17,,Ferretería El Tornillo,5.1,24,,,15.3,,,PROD002,,VENTA
19,,Ferretería El Tornillo,1.9000000000000001,24,,,7.6000000000000005,,,PROD003,,VENTA
8,,Taller Mecánico López,2.4,24,,,7.2,,,PROD002,,VENTA
9,,Taller Mecánico López,6.336000000000002,24,,,18.0,,,PROD004,,VENTA
120,,,,24,,12.0,,,,PROD003,Distribuidora XYZ,RECEPCION
37,,Almacén Central (Interno),18.5,25,,,44.4,,,PROD001,,VENTA
38,,Almacén Central (Interno),11.4,25,,,34.2,,,PROD002,,VENTA
27,,Almacén Central (Interno),1.35,25,,,4.05,,,PROD005,,VENTA
120,,,,25,,12.0,,,,PROD003,Distribuidora XYZ,RECEPCION
13,,Taller Mecánico López,3.9,26,,,11.700000000000001,,,PROD002,,VENTA
11,,Taller Mecánico López,7.7440000000000015,26,,,22.0,,,PROD004,,VENTA
108,,,32.4,26,3,,,,,PROD002,Suministros ABC,PEDIDO
96,,,67.58400000000002,26,2,,,,,PROD004,Distribuidora XYZ,PEDIDO
10,,Ferretería El Tornillo,5.0,27,,,12.0,,,PROD001,,VENTA
12,,Ferretería El Tornillo,3.5999999999999996,27,,,10.8,,,PROD002,,VENTA
15,,Ferretería El Tornillo,1.5,27,,,6.0,,,PROD003,,VENTA
108,,,32.4,27,3,,,,,PROD002,Suministros ABC,PEDIDO
96,,,67.58400000000002,27,2,,,,,PROD004,Distribuidora XYZ,PEDIDO
,116,Construcciones Pérez,,28,,,,86,90.0,PROD001,,DESABASTECIMIENTO
148,,Construcciones Pérez,14.8,28,,,59.2,,,PROD003,,VENTA
,83,Construcciones Pérez,,28,,,,34,90.0,PROD004,,DESABASTECIMIENTO
105,,Construcciones Pérez,5.25,28,,,15.75,,,PROD005,,VENTA
10,,Taller Mecánico López,3.0,28,,,9.0,,,PROD002,,VENTA
11,,Taller Mecánico López,7.7440000000000015,28,,,22.0,,,PROD004,,VENTA
108,,,32.4,28,3,,,,,PROD002,Suministros ABC,PEDIDO
96,,,67.58400000000002,28,2,,,,,PROD004,Distribuidora XYZ,PEDIDO
96,,,,28,,67.58400000000002,,,,PROD004,Distribuidora XYZ,RECEPCION
108,,,32.4,29,3,,,,,PROD002,Suministros ABC,PEDIDO
108,,,,29,,32.4,,,,PROD002,Suministros ABC,RECEPCION
96,,,,29,,67.58400000000002,,,,PROD004,Distribuidora XYZ,RECEPCION
21,,Ferretería El Tornillo,10.5,30,,,25.2,,,PROD001,,VENTA
11,,Ferretería El Tornillo,3.3,30,,,9.9,,,PROD002,,VENTA
20,,Ferretería El Tornillo,2.0,30,,,8.0,,,PROD003,,VENTA
10,,Taller Mecánico López,3.0,30,,,9.0,,,PROD002,,VENTA
11,,Taller Mecánico López,7.7440000000000015,30,,,22.0,,,PROD004,,VENTA
38,,Almacén Central (Interno),19.0,30,,,45.6,,,PROD001,,VENTA
32,,Almacén Central (Interno),9.6,30,,,28.8,,,PROD002,,VENTA
31,,Almacén Central (Interno),1.55,30,,,4.6499999999999995,,,PROD005,,VENTA
198,,Ferreterías del Norte,19.8,30,,,79.2,,,PROD003,,VENTA
252,,Ferreterías del Norte,12.600000000000001,30,,,37.8,,,PROD005,,VENTA
90,,,45.0,30,4,,,,,PROD001,Distribuidora XYZ,PEDIDO
120,,,12.0,30,2,,,,,PROD003,Distribuidora XYZ,PEDIDO
300,,,15.0,30,4,,,,,PROD005,Ferretería Industrial,PEDIDO
108,,,,30,,32.4,,,,PROD002,Suministros ABC,RECEPCION
96,,,,30,,67.58400000000002,,,,PROD004,Distribuidora XYZ,RECEPCION
