dia,producto_id,cantidad,costo_total,proveedor
117,,300,,Ferretería Industrial
117,,96,,Distribuidora XYZ
118,,96,,Distribuidora XYZ
119,,300,,Ferretería Industrial
120,,300,,Ferretería Industrial
120,,300,,Ferretería Industrial
121,,108,,Suministros ABC
121,,108,,Suministros ABC
121,,120,,Distribuidora XYZ
122,,108,,Suministros ABC
122,,120,,Distribuidora XYZ
123,,108,,Suministros ABC
123,,120,,Distribuidora XYZ
124,,108,,Suministros ABC
127,,90,,Distribuidora XYZ
128,,90,,Distribuidora XYZ
128,,96,,Distribuidora XYZ
129,,90,,Distribuidora XYZ
129,,96,,Distribuidora XYZ
130,,96,,Distribuidora XYZ
132,,120,,Distribuidora XYZ
133,,120,,Distribuidora XYZ
134,,120,,Distribuidora XYZ
142,,90,,Distribuidora XYZ
142,,96,,Distribuidora XYZ
143,,90,,Distribuidora XYZ
143,,96,,Distribuidora XYZ
144,,90,,Distribuidora XYZ
144,,96,,Distribuidora XYZ
152,,90,,Distribuidora XYZ
152,,120,,Distribuidora XYZ
153,,90,,Distribuidora XYZ
153,,120,,Distribuidora XYZ
154,,90,,Distribuidora XYZ
154,,120,,Distribuidora XYZ
155,,108,,Suministros ABC
156,,108,,Suministros ABC
158,,300,,Ferretería Industrial
158,,108,,Suministros ABC
159,,108,,Suministros ABC
159,,300,,Ferretería Industrial
160,,300,,Ferretería Industrial
161,,300,,Ferretería Industrial
162,,300,,Ferretería Industrial
162,,96,,Distribuidora XYZ
163,,96,,Distribuidora XYZ
164,,96,,Distribuidora XYZ
167,,90,,Distribuidora XYZ
168,,90,,Distribuidora XYZ
169,,90,,Distribuidora XYZ
170,,90,,Distribuidora XYZ
170,,120,,Distribuidora XYZ
171,,120,,Distribuidora XYZ
172,,120,,Distribuidora XYZ
182,,90,,Distribuidora XYZ
183,,108,,Suministros ABC
183,,90,,Distribuidora XYZ
184,,108,,Suministros ABC
184,,90,,Distribuidora XYZ
185,,108,,Suministros ABC
186,,108,,Suministros ABC
186,,96,,Distribuidora XYZ
187,,96,,Distribuidora XYZ
188,,96,,Distribuidora XYZ
194,,300,,Ferretería Industrial
195,,300,,Ferretería Industrial
196,,300,,Ferretería Industrial
197,,300,,Ferretería Industrial
197,,90,,Distribuidora XYZ
197,,120,,Distribuidora XYZ
198,,300,,Ferretería Industrial
198,,90,,Distribuidora XYZ
198,,120,,Distribuidora XYZ
199,,90,,Distribuidora XYZ
199,,120,,Distribuidora XYZ
206,,120,,Distribuidora XYZ
207,,120,,Distribuidora XYZ
208,,120,,Distribuidora XYZ
208,,96,,Distribuidora XYZ
209,,96,,Distribuidora XYZ
210,,96,,Distribuidora XYZ
211,,108,,Suministros ABC
212,,108,,Suministros ABC
212,,90,,Distribuidora XYZ
213,,90,,Distribuidora XYZ
214,,108,,Suministros ABC
214,,90,,Distribuidora XYZ
216,,108,,Suministros ABC
222,,120,,Distribuidora XYZ
223,,120,,Distribuidora XYZ
224,,120,,Distribuidora XYZ
224,,96,,Distribuidora XYZ
225,,96,,Distribuidora XYZ
226,,96,,Distribuidora XYZ
227,,90,,Distribuidora XYZ
228,,90,,Distribuidora XYZ
229,,90,,Distribuidora XYZ
233,,120,,Distribuidora XYZ
234,,120,,Distribuidora XYZ
235,,300,,Ferretería Industrial
235,,120,,Distribuidora XYZ
236,,300,,Ferretería Industrial
237,,300,,Ferretería Industrial
238,,300,,Ferretería Industrial
238,,108,,Suministros ABC
239,,300,,Ferretería Industrial
239,,108,,Suministros ABC
240,,108,,Suministros ABC
241,,108,,Suministros ABC
242,,90,,Distribuidora XYZ
243,,90,,Distribuidora XYZ
244,,90,,Distribuidora XYZ
254,,90,,Distribuidora XYZ
254,,120,,Distribuidora XYZ
254,,96,,Distribuidora XYZ
255,,30,,Distribuidora XYZ
255,,40,,Distribuidora XYZ
255,,16,,Distribuidora XYZ
256,,30,,Distribuidora XYZ
256,,40,,Distribuidora XYZ
256,,27,,Distribuidora XYZ
261,,32,,Distribuidora XYZ
262,,120,,Distribuidora XYZ
262,,96,,Distribuidora XYZ
263,,120,,Distribuidora XYZ
263,,96,,Distribuidora XYZ
264,,108,,Suministros ABC
264,,120,,Distribuidora XYZ
264,,96,,Distribuidora XYZ
265,,108,,Suministros ABC
266,,108,,Suministros ABC
267,,108,,Suministros ABC
267,,90,,Distribuidora XYZ
268,,90,,Distribuidora XYZ
268,,90,,Distribuidora XYZ
269,,30,,Distribuidora XYZ
275,,100,,Ferretería Industrial
276,,100,,Ferretería Industrial
276,,100,,Ferretería Industrial
277,,100,,Ferretería Industrial
