dia,producto_id,proveedor,cantidad,costo_total,dias_entrega
112,,Ferretería Industrial,300,,4
113,,Ferretería Industrial,300,,4
114,,Distribuidora XYZ,96,,2
114,,Ferretería Industrial,300,,6
115,,Distribuidora XYZ,96,,2
115,,Ferretería Industrial,300,,4
116,,Distribuidora XYZ,96,,2
116,,Ferretería Industrial,300,,4
117,,Suministros ABC,108,,4
118,,Suministros ABC,108,,3
119,,Suministros ABC,108,,3
119,,Distribuidora XYZ,120,,2
120,,Suministros ABC,108,,3
120,,Distribuidora XYZ,120,,2
121,,Suministros ABC,108,,3
121,,Distribuidora XYZ,120,,2
125,,Distribuidora XYZ,90,,2
126,,Distribuidora XYZ,90,,2
126,,Distribuidora XYZ,96,,2
127,,Distribuidora XYZ,90,,2
127,,Distribuidora XYZ,96,,2
128,,Distribuidora XYZ,96,,2
130,,Distribuidora XYZ,120,,2
131,,Distribuidora XYZ,120,,2
132,,Distribuidora XYZ,120,,2
140,,Distribuidora XYZ,90,,2
140,,Distribuidora XYZ,96,,2
141,,Distribuidora XYZ,90,,2
141,,Distribuidora XYZ,96,,2
142,,Distribuidora XYZ,90,,2
142,,Distribuidora XYZ,96,,2
150,,Distribuidora XYZ,90,,2
150,,Distribuidora XYZ,120,,2
151,,Distribuidora XYZ,90,,2
151,,Distribuidora XYZ,120,,2
152,,Distribuidora XYZ,90,,2
152,,Suministros ABC,108,,3
152,,Distribuidora XYZ,120,,2
153,,Suministros ABC,108,,3
154,,Suministros ABC,108,,5
154,,Ferretería Industrial,300,,4
155,,Suministros ABC,108,,3
155,,Ferretería Industrial,300,,4
156,,Ferretería Industrial,300,,4
157,,Ferretería Industrial,300,,4
158,,Ferretería Industrial,300,,4
160,,Distribuidora XYZ,96,,2
161,,Distribuidora XYZ,96,,2
162,,Distribuidora XYZ,96,,2
165,,Distribuidora XYZ,90,,2
166,,Distribuidora XYZ,90,,2
167,,Distribuidora XYZ,90,,2
168,,Distribuidora XYZ,90,,2
168,,Distribuidora XYZ,120,,2
169,,Distribuidora XYZ,120,,2
170,,Distribuidora XYZ,120,,2
180,,Distribuidora XYZ,90,,2
180,,Suministros ABC,108,,3
181,,Distribuidora XYZ,90,,2
181,,Suministros ABC,108,,3
182,,Distribuidora XYZ,90,,2
182,,Suministros ABC,108,,3
183,,Suministros ABC,108,,3
184,,Distribuidora XYZ,96,,2
185,,Distribuidora XYZ,96,,2
186,,Distribuidora XYZ,96,,2
190,,Ferretería Industrial,300,,4
191,,Ferretería Industrial,300,,4
192,,Ferretería Industrial,300,,4
193,,Ferretería Industrial,300,,4
194,,Ferretería Industrial,300,,4
195,,Distribuidora XYZ,90,,2
195,,Distribuidora XYZ,120,,2
196,,Distribuidora XYZ,90,,2
196,,Distribuidora XYZ,120,,2
197,,Distribuidora XYZ,90,,2
197,,Distribuidora XYZ,120,,2
204,,Distribuidora XYZ,120,,2
205,,Distribuidora XYZ,120,,2
206,,Distribuidora XYZ,120,,2
206,,Distribuidora XYZ,96,,2
207,,Distribuidora XYZ,96,,2
208,,Suministros ABC,108,,3
208,,Distribuidora XYZ,96,,2
209,,Suministros ABC,108,,3
210,,Distribuidora XYZ,90,,2
210,,Suministros ABC,108,,6
211,,Distribuidora XYZ,90,,2
211,,Suministros ABC,108,,3
212,,Distribuidora XYZ,90,,2
220,,Distribuidora XYZ,120,,2
221,,Distribuidora XYZ,120,,2
222,,Distribuidora XYZ,120,,2
222,,Distribuidora XYZ,96,,2
223,,Distribuidora XYZ,96,,2
224,,Distribuidora XYZ,96,,2
225,,Distribuidora XYZ,90,,2
226,,Distribuidora XYZ,90,,2
227,,Distribuidora XYZ,90,,2
231,,Distribuidora XYZ,120,,2
231,,Ferretería Industrial,300,,4
232,,Distribuidora XYZ,120,,2
232,,Ferretería Industrial,300,,4
233,,Distribuidora XYZ,120,,2
233,,Ferretería Industrial,300,,4
234,,Ferretería Industrial,300,,4
235,,Suministros ABC,108,,3
235,,Ferretería Industrial,300,,4
236,,Suministros ABC,108,,3
237,,Suministros ABC,108,,3
238,,Suministros ABC,108,,3
240,,Distribuidora XYZ,90,,2
241,,Distribuidora XYZ,90,,2
242,,Distribuidora XYZ,90,,2
252,,Distribuidora XYZ,90,,2
252,,Distribuidora XYZ,120,,2
252,,Distribuidora XYZ,96,,2
253,,Distribuidora XYZ,30,,2
253,,Distribuidora XYZ,40,,2
253,,Distribuidora XYZ,16,,2
254,,Distribuidora XYZ,30,,2
254,,Distribuidora XYZ,40,,2
254,,Distribuidora XYZ,27,,2
259,,Distribuidora XYZ,32,,2
260,,Distribuidora XYZ,120,,2
260,,Distribuidora XYZ,96,,2
261,,Suministros ABC,108,,3
261,,Distribuidora XYZ,120,,2
261,,Distribuidora XYZ,96,,2
262,,Suministros ABC,108,,3
262,,Distribuidora XYZ,120,,2
262,,Distribuidora XYZ,96,,2
263,,Suministros ABC,108,,3
264,,Distribuidora XYZ,90,,4
264,,Suministros ABC,108,,3
265,,Distribuidora XYZ,90,,2
266,,Distribuidora XYZ,90,,2
267,,Distribuidora XYZ,30,,2
270,,Ferretería Industrial,100,,6
271,,Ferretería Industrial,100,,4
272,,Ferretería Industrial,100,,4
273,,Ferretería Industrial,100,,4
274,,Ferretería Industrial,300,,4
275,,Ferretería Industrial,300,,4
276,,Ferretería Industrial,300,,5
