dia,cliente,producto_id,cantidad,ingreso,costo
54,Ferretería El Tornillo,,15,6.0,1.5
54,Taller Mecánico López,,8,7.2,2.4
54,Taller Mecánico López,,12,24.0,8.448000000000002
55,Almacén Central (Interno),,29,34.8,14.5
55,Almacén Central (Interno),,33,29.7,9.899999999999999
55,Almacén Central (Interno),,29,4.35,1.4500000000000002
56,Construcciones Pérez,,57,22.8,5.7
56,Taller Mecánico López,,10,9.0,3.0
56,Taller Mecánico López,,9,18.0,6.336000000000002
57,Ferretería El Tornillo,,17,20.4,8.5
57,Ferretería El Tornillo,,16,14.4,4.8
57,Ferretería El Tornillo,,14,5.6000000000000005,1.4000000000000001
58,Taller Mecánico López,,10,9.0,3.0
58,Taller Mecánico López,,9,18.0,6.336000000000002
60,Ferretería El Tornillo,,20,24.0,10.0
60,Ferretería El Tornillo,,17,15.3,5.1
60,Ferretería El Tornillo,,13,5.2,1.3
60,Taller Mecánico López,,11,9.9,3.3
60,Taller Mecánico López,,9,18.0,6.336000000000002
60,Almacén Central (Interno),,33,39.6,16.5
60,Almacén Central (Interno),,29,26.1,8.7
60,Almacén Central (Interno),,24,3.5999999999999996,1.2
60,Ferreterías del Norte,,225,90.0,22.5
60,Ferreterías del Norte,,299,44.85,14.95
62,Taller Mecánico López,,12,24.0,8.448000000000002
63,Ferretería El Tornillo,,17,20.4,8.5
63,Ferretería El Tornillo,,7,2.8000000000000003,0.7000000000000001
63,Construcciones Pérez,,74,88.8,37.0
63,Construcciones Pérez,,110,44.0,11.0
63,Construcciones Pérez,,75,150.0,52.80000000000002
63,Construcciones Pérez,,111,16.65,5.550000000000001
64,Taller Mecánico López,,5,4.5,1.5
64,Taller Mecánico López,,8,16.0,5.6320000000000014
65,Almacén Central (Interno),,33,39.6,16.5
65,Almacén Central (Interno),,32,28.8,9.6
65,Almacén Central (Interno),,25,3.75,1.25
66,Ferretería El Tornillo,,15,18.0,7.5
66,Ferretería El Tornillo,,19,17.1,5.7
66,Ferretería El Tornillo,,12,4.800000000000001,1.2000000000000002
66,Taller Mecánico López,,11,9.9,3.3
66,Taller Mecánico López,,11,22.0,7.7440000000000015
68,Taller Mecánico López,,12,10.8,3.5999999999999996
68,Taller Mecánico López,,11,22.0,7.7440000000000015
69,Ferretería El Tornillo,,10,12.0,5.0
69,Ferretería El Tornillo,,19,17.1,5.7
69,Ferretería El Tornillo,,20,8.0,2.0
70,Construcciones Pérez,,64,25.6,6.4
70,Construcciones Pérez,,100,200.0,70.40000000000002
70,Construcciones Pérez,,92,13.799999999999999,4.6000000000000005
70,Taller Mecánico López,,11,9.9,3.3
70,Taller Mecánico López,,10,20.0,7.040000000000002
70,Almacén Central (Interno),,22,26.4,11.0
70,Almacén Central (Interno),,29,26.1,8.7
70,Almacén Central (Interno),,29,4.35,1.4500000000000002
70,Ferreterías del Norte,,188,75.2,18.8
70,Ferreterías del Norte,,136,20.4,6.800000000000001
72,Ferretería El Tornillo,,10,12.0,5.0
72,Ferretería El Tornillo,,14,12.6,4.2
72,Ferretería El Tornillo,,10,4.0,1.0
72,Taller Mecánico López,,12,10.8,3.5999999999999996
72,Taller Mecánico López,,9,18.0,6.336000000000002
74,Taller Mecánico López,,12,10.8,3.5999999999999996
74,Taller Mecánico López,,13,26.0,9.152000000000003
75,Ferretería El Tornillo,,19,22.8,9.5
75,Ferretería El Tornillo,,18,16.2,5.3999999999999995
75,Ferretería El Tornillo,,19,7.6000000000000005,1.9000000000000001
75,Almacén Central (Interno),,35,42.0,17.5
75,Almacén Central (Interno),,21,18.900000000000002,6.3
75,Almacén Central (Interno),,37,5.55,1.85
76,Taller Mecánico López,,13,11.700000000000001,3.9
76,Taller Mecánico López,,13,26.0,9.152000000000003
77,Construcciones Pérez,,63,75.6,31.5
77,Construcciones Pérez,,108,16.2,5.4
78,Ferretería El Tornillo,,17,20.4,8.5
78,Ferretería El Tornillo,,12,10.8,3.5999999999999996
78,Ferretería El Tornillo,,11,4.4,1.1
78,Taller Mecánico López,,9,8.1,2.6999999999999997
78,Taller Mecánico López,,12,24.0,8.448000000000002
80,Taller Mecánico López,,10,9.0,3.0
80,Taller Mecánico López,,8,16.0,5.6320000000000014
80,Almacén Central (Interno),,34,40.8,17.0
80,Almacén Central (Interno),,31,27.900000000000002,9.299999999999999
80,Almacén Central (Interno),,22,3.3,1.1
80,Ferreterías del Norte,,310,124.0,31.0
80,Ferreterías del Norte,,26,3.9,1.3
81,Ferretería El Tornillo,,13,15.6,6.5
81,Ferretería El Tornillo,,3,2.7,0.8999999999999999
81,Ferretería El Tornillo,,20,8.0,2.0
82,Taller Mecánico López,,7,6.3,2.1
82,Taller Mecánico López,,13,26.0,9.152000000000003
84,Ferretería El Tornillo,,20,24.0,10.0
84,Ferretería El Tornillo,,25,22.5,7.5
84,Ferretería El Tornillo,,11,4.4,1.1
84,Construcciones Pérez,,100,120.0,50.0
84,Construcciones Pérez,,80,32.0,8.0
84,Construcciones Pérez,,77,154.0,54.20800000000001
84,Construcciones Pérez,,161,24.15,8.05
84,Taller Mecánico López,,7,6.3,2.1
84,Taller Mecánico López,,9,18.0,6.336000000000002
85,Almacén Central (Interno),,34,30.6,10.2
85,Almacén Central (Interno),,35,5.25,1.75
86,Taller Mecánico López,,10,9.0,3.0
86,Taller Mecánico López,,9,18.0,6.336000000000002
87,Ferretería El Tornillo,,12,14.399999999999999,6.0
87,Ferretería El Tornillo,,13,11.700000000000001,3.9
87,Ferretería El Tornillo,,18,7.2,1.8
88,Taller Mecánico López,,12,10.8,3.5999999999999996
88,Taller Mecánico López,,6,12.0,4.224000000000001
90,Ferretería El Tornillo,,19,22.8,9.5
90,Ferretería El Tornillo,,15,13.5,4.5
90,Ferretería El Tornillo,,13,5.2,1.3000000000000003
90,Taller Mecánico López,,13,11.700000000000001,3.9
90,Taller Mecánico López,,7,14.0,4.928000000000001
90,Almacén Central (Interno),,26,31.2,13.0
90,Almacén Central (Interno),,24,3.5999999999999996,1.2000000000000002
90,Ferreterías del Norte,,128,19.2,6.4
91,Construcciones Pérez,,92,110.39999999999999,46.0
91,Construcciones Pérez,,90,36.0,9.0
91,Construcciones Pérez,,152,304.0,107.00800000000002
91,Construcciones Pérez,,126,18.9,6.300000000000001
92,Taller Mecánico López,,15,13.5,4.5
92,Taller Mecánico López,,8,16.0,5.6320000000000014
93,Ferretería El Tornillo,,20,24.0,10.0
93,Ferretería El Tornillo,,12,10.8,3.5999999999999996
93,Ferretería El Tornillo,,14,5.6000000000000005,1.4000000000000001
94,Taller Mecánico López,,11,9.9,3.3
94,Taller Mecánico López,,12,24.0,8.448000000000002
95,Almacén Central (Interno),,33,39.6,16.5
95,Almacén Central (Interno),,31,27.900000000000002,9.299999999999999
95,Almacén Central (Interno),,28,4.2,1.4000000000000001
96,Ferretería El Tornillo,,20,24.0,10.0
96,Ferretería El Tornillo,,10,9.0,3.0
96,Ferretería El Tornillo,,19,7.6000000000000005,1.9
96,Taller Mecánico López,,11,9.9,3.3
96,Taller Mecánico López,,11,22.0,7.7440000000000015
98,Construcciones Pérez,,82,32.800000000000004,8.200000000000001
98,Construcciones Pérez,,144,288.0,101.37600000000002
98,Construcciones Pérez,,124,18.599999999999998,6.2
98,Taller Mecánico López,,8,7.2,2.4
98,Taller Mecánico López,,9,18.0,6.336000000000002
99,Ferretería El Tornillo,,17,20.4,8.5
99,Ferretería El Tornillo,,9,8.1,2.6999999999999997
99,Ferretería El Tornillo,,17,6.800000000000001,1.7000000000000002
100,Taller Mecánico López,,9,8.1,2.6999999999999997
100,Taller Mecánico López,,7,14.0,4.928000000000001
100,Almacén Central (Interno),,32,38.4,16.0
100,Almacén Central (Interno),,28,25.2,8.4
100,Almacén Central (Interno),,34,5.1,1.7000000000000002
100,Ferreterías del Norte,,138,20.7,6.9
102,Ferretería El Tornillo,,12,14.399999999999999,6.0
102,Ferretería El Tornillo,,18,16.2,5.3999999999999995
102,Ferretería El Tornillo,,15,6.0,1.5
102,Taller Mecánico López,,11,9.9,3.3
102,Taller Mecánico López,,11,22.0,7.7440000000000015
104,Taller Mecánico López,,10,9.0,3.0
104,Taller Mecánico López,,8,16.0,5.6320000000000014
105,Ferretería El Tornillo,,10,12.0,5.0
105,Ferretería El Tornillo,,16,14.4,4.8
105,Ferretería El Tornillo,,18,7.2,1.8
105,Construcciones Pérez,,155,186.0,77.5
105,Construcciones Pérez,,24,48.0,16.896000000000004
105,Construcciones Pérez,,129,19.349999999999998,6.450000000000001
105,Almacén Central (Interno),,31,37.199999999999996,15.5
105,Almacén Central (Interno),,22,19.8,6.6
105,Almacén Central (Interno),,37,5.55,1.85
106,Taller Mecánico López,,11,9.9,3.3
106,Taller Mecánico López,,10,20.0,7.040000000000002
108,Ferretería El Tornillo,,18,21.599999999999998,9.0
108,Ferretería El Tornillo,,15,13.5,4.5
108,Ferretería El Tornillo,,20,8.0,2.0
108,Taller Mecánico López,,9,8.1,2.6999999999999997
108,Taller Mecánico López,,10,20.0,7.040000000000002
110,Taller Mecánico López,,9,8.1,2.6999999999999997
110,Taller Mecánico López,,10,20.0,7.040000000000002
110,Almacén Central (Interno),,31,37.199999999999996,15.5
110,Almacén Central (Interno),,26,23.400000000000002,7.8
110,Almacén Central (Interno),,35,5.25,1.75
110,Ferreterías del Norte,,153,61.2,15.3
111,Ferretería El Tornillo,,20,24.0,10.0
111,Ferretería El Tornillo,,17,15.3,5.1
111,Ferretería El Tornillo,,11,4.4,1.1
112,Construcciones Pérez,,1,1.2,0.5
112,Construcciones Pérez,,78,31.200000000000003,7.800000000000001
112,Construcciones Pérez,,58,8.7,2.9000000000000004
112,Taller Mecánico López,,9,8.1,2.6999999999999997
112,Taller Mecánico López,,12,24.0,8.448000000000002
114,Ferretería El Tornillo,,3,3.5999999999999996,1.5
114,Ferretería El Tornillo,,12,10.8,3.5999999999999996
114,Ferretería El Tornillo,,16,6.4,1.6
114,Taller Mecánico López,,11,9.9,3.3
114,Taller Mecánico López,,9,18.0,6.336000000000002
115,Almacén Central (Interno),,32,38.4,16.0
115,Almacén Central (Interno),,26,23.400000000000002,7.8
115,Almacén Central (Interno),,24,3.5999999999999996,1.2000000000000002
116,Taller Mecánico López,,13,11.700000000000001,3.9
116,Taller Mecánico López,,14,28.0,9.856000000000002
117,Ferretería El Tornillo,,18,21.599999999999998,9.0
117,Ferretería El Tornillo,,17,15.3,5.1
117,Ferretería El Tornillo,,17,6.800000000000001,1.7000000000000002
118,Taller Mecánico López,,12,10.8,3.5999999999999996
118,Taller Mecánico López,,8,16.0,5.6320000000000014
119,Construcciones Pérez,,100,120.0,50.0
119,Construcciones Pérez,,125,50.0,12.5
119,Construcciones Pérez,,120,240.0,84.48000000000002
119,Construcciones Pérez,,78,11.7,3.9000000000000004
120,Ferretería El Tornillo,,11,13.2,5.5
120,Ferretería El Tornillo,,10,9.0,3.0
120,Ferretería El Tornillo,,13,5.2,1.3
120,Taller Mecánico López,,8,7.2,2.4
120,Taller Mecánico López,,11,22.0,7.7440000000000015
120,Almacén Central (Interno),,33,39.6,16.5
120,Almacén Central (Interno),,33,4.95,1.6500000000000001
120,Ferreterías del Norte,,246,36.9,12.3
122,Taller Mecánico López,,8,7.2,2.4
122,Taller Mecánico López,,11,22.0,7.7440000000000015
123,Ferretería El Tornillo,,19,22.8,9.5
123,Ferretería El Tornillo,,19,17.1,5.699999999999999
123,Ferretería El Tornillo,,12,4.800000000000001,1.2000000000000002
124,Taller Mecánico López,,9,8.1,2.6999999999999997
124,Taller Mecánico López,,10,20.0,7.040000000000002
125,Almacén Central (Interno),,24,28.799999999999997,12.0
125,Almacén Central (Interno),,24,21.6,7.199999999999999
125,Almacén Central (Interno),,35,5.25,1.75
126,Ferretería El Tornillo,,13,15.6,6.5
126,Ferretería El Tornillo,,13,11.700000000000001,3.9
126,Ferretería El Tornillo,,13,5.2,1.3
126,Construcciones Pérez,,39,15.600000000000001,3.9000000000000004
126,Construcciones Pérez,,129,258.0,90.81600000000003
126,Construcciones Pérez,,112,16.8,5.6
126,Taller Mecánico López,,10,9.0,3.0
126,Taller Mecánico López,,13,26.0,9.152000000000003
128,Taller Mecánico López,,7,6.3,2.1
128,Taller Mecánico López,,11,22.0,7.7440000000000015
129,Ferretería El Tornillo,,13,15.6,6.5
129,Ferretería El Tornillo,,19,17.1,5.7
129,Ferretería El Tornillo,,14,5.6000000000000005,1.4000000000000001
130,Taller Mecánico López,,9,8.1,2.6999999999999997
130,Taller Mecánico López,,11,22.0,7.7440000000000015
130,Almacén Central (Interno),,24,28.799999999999997,12.0
130,Almacén Central (Interno),,28,25.2,8.399999999999999
130,Almacén Central (Interno),,36,5.3999999999999995,1.8
130,Ferreterías del Norte,,220,88.0,22.0
130,Ferreterías del Norte,,273,40.949999999999996,13.650000000000002
132,Ferretería El Tornillo,,11,13.2,5.5
132,Ferretería El Tornillo,,20,18.0,6.0
132,Ferretería El Tornillo,,17,6.800000000000001,1.7000000000000002
132,Taller Mecánico López,,11,9.9,3.3
132,Taller Mecánico López,,8,16.0,5.6320000000000014
133,Construcciones Pérez,,118,141.6,59.0
133,Construcciones Pérez,,35,14.0,3.5
133,Construcciones Pérez,,123,246.0,86.59200000000001
133,Construcciones Pérez,,51,7.6499999999999995,2.5500000000000003
134,Taller Mecánico López,,6,5.4,1.7999999999999998
134,Taller Mecánico López,,7,14.0,4.928000000000001
135,Ferretería El Tornillo,,16,19.2,8.0
135,Ferretería El Tornillo,,14,12.6,4.2
135,Ferretería El Tornillo,,15,6.0,1.5
135,Almacén Central (Interno),,25,30.0,12.5
135,Almacén Central (Interno),,35,31.5,10.5
135,Almacén Central (Interno),,28,4.2,1.4000000000000001
136,Taller Mecánico López,,11,9.9,3.3
136,Taller Mecánico López,,13,26.0,9.152000000000003
138,Ferretería El Tornillo,,22,26.4,11.0
138,Ferretería El Tornillo,,19,17.1,5.7
138,Ferretería El Tornillo,,18,7.2,1.8
138,Taller Mecánico López,,10,9.0,3.0
138,Taller Mecánico López,,10,20.0,7.040000000000002
140,Construcciones Pérez,,64,76.8,32.0
140,Construcciones Pérez,,83,33.2,8.299999999999999
140,Construcciones Pérez,,106,212.0,74.62400000000002
140,Construcciones Pérez,,80,12.0,4.0
140,Taller Mecánico López,,8,7.2,2.4
140,Taller Mecánico López,,8,16.0,5.6320000000000014
140,Almacén Central (Interno),,29,26.1,8.7
140,Almacén Central (Interno),,28,4.2,1.4000000000000001
140,Ferreterías del Norte,,42,6.3,2.1
141,Ferretería El Tornillo,,14,12.6,4.2
141,Ferretería El Tornillo,,5,2.0,0.5
142,Taller Mecánico López,,12,10.8,3.5999999999999996
144,Ferretería El Tornillo,,14,16.8,7.0
144,Ferretería El Tornillo,,18,16.2,5.4
144,Ferretería El Tornillo,,18,7.2,1.8
144,Taller Mecánico López,,7,6.3,2.1
144,Taller Mecánico López,,11,22.0,7.744000000000002
145,Almacén Central (Interno),,23,27.599999999999998,11.5
145,Almacén Central (Interno),,36,32.4,10.799999999999999
145,Almacén Central (Interno),,29,4.35,1.4500000000000002
146,Taller Mecánico López,,12,10.8,3.5999999999999996
146,Taller Mecánico López,,15,30.0,10.560000000000002
147,Ferretería El Tornillo,,20,24.0,10.0
147,Ferretería El Tornillo,,16,14.4,4.8
147,Ferretería El Tornillo,,23,9.200000000000001,2.3000000000000003
147,Construcciones Pérez,,141,169.2,70.5
147,Construcciones Pérez,,54,21.6,5.4
147,Construcciones Pérez,,162,324.0,114.04800000000003
147,Construcciones Pérez,,131,19.65,6.550000000000001
148,Taller Mecánico López,,9,8.1,2.6999999999999997
148,Taller Mecánico López,,11,22.0,7.7440000000000015
150,Ferretería El Tornillo,,24,28.799999999999997,12.0
150,Ferretería El Tornillo,,24,21.6,7.2
150,Ferretería El Tornillo,,14,5.6000000000000005,1.4000000000000001
150,Taller Mecánico López,,11,9.9,3.3
150,Taller Mecánico López,,12,24.0,8.448000000000002
150,Almacén Central (Interno),,32,38.4,16.0
150,Almacén Central (Interno),,26,23.400000000000002,7.8
150,Almacén Central (Interno),,33,4.95,1.6500000000000001
150,Ferreterías del Norte,,139,55.6,13.9
150,Ferreterías del Norte,,74,11.1,3.7
152,Taller Mecánico López,,8,7.2,2.4
152,Taller Mecánico López,,8,16.0,5.6320000000000014
153,Ferretería El Tornillo,,19,22.8,9.5
153,Ferretería El Tornillo,,17,15.3,5.1
153,Ferretería El Tornillo,,16,6.4,1.6
154,Construcciones Pérez,,93,111.6,46.5
154,Construcciones Pérez,,147,58.800000000000004,14.7
154,Construcciones Pérez,,114,17.099999999999998,5.7
154,Taller Mecánico López,,6,5.4,1.7999999999999998
154,Taller Mecánico López,,11,22.0,7.7440000000000015
155,Almacén Central (Interno),,25,30.0,12.5
155,Almacén Central (Interno),,21,18.900000000000002,6.3
155,Almacén Central (Interno),,27,4.05,1.35
156,Ferretería El Tornillo,,23,27.599999999999998,11.5
156,Ferretería El Tornillo,,15,13.5,4.5
156,Ferretería El Tornillo,,5,2.0,0.5
156,Taller Mecánico López,,10,9.0,3.0
156,Taller Mecánico López,,7,14.0,4.928000000000001
158,Taller Mecánico López,,10,9.0,3.0
158,Taller Mecánico López,,8,16.0,5.6320000000000014
159,Ferretería El Tornillo,,18,21.599999999999998,9.0
159,Ferretería El Tornillo,,12,10.8,3.5999999999999996
159,Ferretería El Tornillo,,13,5.2,1.3
160,Taller Mecánico López,,12,10.8,3.5999999999999996
160,Taller Mecánico López,,7,14.0,4.928000000000001
160,Almacén Central (Interno),,39,46.8,19.5
160,Almacén Central (Interno),,32,28.8,9.6
160,Almacén Central (Interno),,35,5.25,1.75
160,Ferreterías del Norte,,167,25.05,8.35
161,Construcciones Pérez,,71,28.400000000000002,7.1000000000000005
161,Construcciones Pérez,,143,21.45,7.15
162,Ferretería El Tornillo,,17,20.4,8.5
162,Ferretería El Tornillo,,20,18.0,6.0
162,Ferretería El Tornillo,,14,5.6000000000000005,1.4000000000000001
162,Taller Mecánico López,,8,7.2,2.4
162,Taller Mecánico López,,9,18.0,6.336000000000002
164,Taller Mecánico López,,7,6.3,2.1
164,Taller Mecánico López,,11,22.0,7.7440000000000015
165,Ferretería El Tornillo,,10,12.0,5.0
165,Ferretería El Tornillo,,6,5.4,1.7999999999999998
165,Ferretería El Tornillo,,10,4.0,1.0
165,Almacén Central (Interno),,31,37.199999999999996,15.5
165,Almacén Central (Interno),,26,23.400000000000002,7.8
165,Almacén Central (Interno),,30,4.5,1.5
166,Taller Mecánico López,,10,9.0,3.0
166,Taller Mecánico López,,9,18.0,6.336000000000002
168,Ferretería El Tornillo,,11,13.2,5.5
168,Ferretería El Tornillo,,11,9.9,3.3
168,Ferretería El Tornillo,,20,8.0,2.0
168,Construcciones Pérez,,80,96.0,40.0
168,Construcciones Pérez,,44,88.0,30.97600000000001
168,Construcciones Pérez,,98,14.7,4.9
168,Taller Mecánico López,,12,10.8,3.5999999999999996
168,Taller Mecánico López,,8,16.0,5.6320000000000014
170,Taller Mecánico López,,9,8.1,2.6999999999999997
170,Taller Mecánico López,,10,20.0,7.040000000000002
170,Almacén Central (Interno),,31,37.199999999999996,15.5
170,Almacén Central (Interno),,31,27.900000000000002,9.3
170,Almacén Central (Interno),,32,4.8,1.6
170,Ferreterías del Norte,,381,57.15,19.05
171,Ferretería El Tornillo,,11,13.2,5.5
171,Ferretería El Tornillo,,17,15.3,5.1
171,Ferretería El Tornillo,,1,0.4,0.1
172,Taller Mecánico López,,10,9.0,3.0
172,Taller Mecánico López,,10,20.0,7.040000000000002
